Date,State,District,Market,Commodity,Variety,Min_Price,Max_Price,Modal_Price,Arrival_Qty_qtl,Rainfall_mm
2020-01-02,Uttar Pradesh,Agra,Agra APMC,Cabbage,Red,525,714,626,1105,8.4
2020-01-07,Uttar Pradesh,Agra,Agra APMC,Cabbage,Red,493,649,561,495,2.4
2020-01-15,Uttar Pradesh,Agra,Agra APMC,Cabbage,Green,465,563,513,362,1.7
2020-01-22,Uttar Pradesh,Agra,Agra APMC,Cabbage,Red,434,609,504,187,7.9
2020-01-28,Uttar Pradesh,Agra,Agra APMC,Cabbage,Green,463,644,592,417,2.6
2020-02-05,Uttar Pradesh,Agra,Agra APMC,Cabbage,Green,502,671,585,755,7.0
2020-02-10,Uttar Pradesh,Agra,Agra APMC,Cabbage,Green,709,1002,861,310,6.8
2020-02-16,Uttar Pradesh,Agra,Agra APMC,Cabbage,Green,880,1234,984,114,8.5
2020-02-21,Uttar Pradesh,Agra,Agra APMC,Cabbage,Red,582,800,681,251,5.9
2020-02-27,Uttar Pradesh,Agra,Agra APMC,Cabbage,Red,770,985,853,172,6.7
2020-03-04,Uttar Pradesh,Agra,Agra APMC,Cabbage,Green,744,939,834,113,4.0
2020-03-13,Uttar Pradesh,Agra,Agra APMC,Cabbage,Green,880,1224,1035,25,4.8
2020-03-21,Uttar Pradesh,Agra,Agra APMC,Cabbage,Green,904,1362,1094,261,3.9
2020-03-28,Uttar Pradesh,Agra,Agra APMC,Cabbage,Green,891,1119,981,121,3.2
2020-04-06,Uttar Pradesh,Agra,Agra APMC,Cabbage,Red,660,943,740,171,2.0
2020-04-14,Uttar Pradesh,Agra,Agra APMC,Cabbage,Green,624,796,690,122,2.6
2020-04-21,Uttar Pradesh,Agra,Agra APMC,Cabbage,Red,651,878,765,157,5.9
2020-04-29,Uttar Pradesh,Agra,Agra APMC,Cabbage,Green,656,872,719,148,4.4
2020-05-08,Uttar Pradesh,Agra,Agra APMC,Cabbage,Green,985,1374,1194,237,1.0
2020-05-16,Uttar Pradesh,Agra,Agra APMC,Cabbage,Red,1199,1521,1337,67,0.4
2020-05-25,Uttar Pradesh,Agra,Agra APMC,Cabbage,Red,1000,1451,1149,265,1.5
2020-05-31,Uttar Pradesh,Agra,Agra APMC,Cabbage,Green,1119,1565,1336,129,0.9
2020-06-06,Uttar Pradesh,Agra,Agra APMC,Cabbage,Green,969,1350,1240,254,115.3
2020-06-12,Uttar Pradesh,Agra,Agra APMC,Cabbage,Red,913,1358,1102,200,91.7
